jahr,alter,maennlich,weiblich,gesamt,source
1871,0,511443,504995,1016438,original
1871,1,544113,544497,1088610,original
1871,2,554560,550592,1105152,original
1871,3,500910,498312,999222,original
1871,4,491422,491871,983293,original
1871,5,498685,498699,997384,original
1871,6,462317,464648,926965,original
1871,7,458566,459612,918178,original
1871,8,456919,456416,913335,original
1871,9,436150,433660,869810,original
1871,10,424913,420727,845640,original
1871,11,441360,436287,877647,original
1871,12,441638,439096,880734,original
1871,13,422970,420002,842972,original
1871,14,413223,410354,823577,original
1871,15,390631,388791,779422,original
1871,16,365743,362380,728123,original
1871,17,373866,383656,757522,original
1871,18,366510,380780,747290,original
1871,19,355540,377854,733394,original
1871,20,360021,377098,737119,original
1871,21,369045,383901,752946,original
1871,22,365286,377474,742760,original
1871,23,323437,354803,678240,original
1871,24,303949,332100,636049,original
1871,25,310116,339368,649484,original
1871,26,321735,348535,670270,original
1871,27,305973,328483,634456,original
1871,28,299652,319643,619295,original
1871,29,308495,334247,642742,original
1871,30,292403,304909,597312,original
1871,31,301981,317382,619363,original
1871,32,281446,296269,577715,original
1871,33,274952,287525,562477,original
1871,34,261980,272243,534223,original
1871,35,266773,287585,554358,original
1871,36,265280,277195,542475,original
1871,37,255956,265233,521189,original
1871,38,243996,249077,493073,original
1871,39,227482,242476,469958,original
1871,40,226693,234589,461282,original
1871,41,233736,243745,477481,original
1871,42,212577,233490,446067,original
1871,43,213161,225007,438168,original
1871,44,210870,222451,433321,original
1871,45,214729,229362,444091,original
1871,46,209230,219298,428528,original
1871,47,207046,223473,430519,original
1871,48,201800,212483,414283,original
1871,49,200163,211559,411722,original
1871,50,209384,223377,432761,original
1871,51,202816,216085,418901,original
1871,52,191407,198308,389715,original
1871,53,174327,183805,358132,original
1871,54,163025,175472,338497,original
1871,55,161311,173062,334373,original
1871,56,160514,169072,329586,original
1871,57,135135,144683,279818,original
1871,58,133841,145040,278881,original
1871,59,130867,141334,272201,original
1871,60,146333,167344,313677,original
1871,61,128569,142333,270902,original
1871,62,113153,122888,236041,original
1871,63,108772,116630,225402,original
1871,64,101695,111525,213220,original
1871,65,90966,104129,195095,original
1871,66,89269,99474,188743,original
1871,67,85424,93691,179115,original
1871,68,78280,85349,163629,original
1871,69,74429,79086,153515,original
1871,70,75042,86271,161313,original
1871,71,66741,79597,146338,original
1871,72,49045,49335,98380,original
1871,73,43980,48129,92109,original
1871,74,41679,44587,86266,original
1871,75,36188,40446,76634,original
1871,76,29911,32461,62372,original
1871,77,24922,28197,53119,original
1871,78,21425,23714,45139,original
1871,79,18780,20260,39040,original
1871,80,14733,17690,32423,original
1871,81,12924,16028,28952,original
1871,82,8228,9920,18148,original
1871,83,6960,8629,15589,original
1871,84,5570,7150,12720,original
1871,85,4600,5892,10492,original
1871,86,3467,4494,7961,original
1871,87,2739,3459,6198,original
1871,88,2016,2541,4557,original
1871,89,1391,1881,3272,original
1871,90,1042,1536,2578,original
1872,0,829689,793133,1622823,reconstructed
1872,1,396416,407803,804218,reconstructed
1872,2,512793,513490,1026283,reconstructed
1872,3,534503,531083,1065586,reconstructed
1872,4,490312,488041,978353,reconstructed
1872,5,482173,482315,964488,reconstructed
1872,6,491957,491863,983819,reconstructed
1872,7,456407,458369,914776,reconstructed
1872,8,455539,456876,912415,reconstructed
1872,9,453199,453498,906697,reconstructed
1872,10,432349,431746,864095,reconstructed
1872,11,420184,417229,837412,reconstructed
1872,12,437580,434737,872317,reconstructed
1872,13,436934,435896,872830,reconstructed
1872,14,419614,417929,837543,reconstructed
1872,15,409078,407141,816219,reconstructed
1872,16,386233,386840,773072,reconstructed
1872,17,361741,359650,721392,reconstructed
1872,18,369761,381351,751111,reconstructed
1872,19,362379,376516,738895,reconstructed
1872,20,352501,375181,727682,reconstructed
