rank,country,poverty_rate,year
1,Tschechien,9.5,2024
2,Dänemark,11.6,2024
3,Belgien,11.4,2024
4,Niederlande,12.1,2024
5,Finnland,12.6,2024
6,Schweden,12.8,2024
7,Frankreich,13.1,2024
8,Österreich,13.4,2024
9,Deutschland,15.5,2024
10,Luxemburg,15.8,2024
11,Slowenien,16.2,2024
12,Irland,16.5,2024
13,Litauen,16.8,2024
14,Malta,17.1,2024
15,Zypern,17.4,2024
16,Estland,17.7,2024
17,Slowakei,17.9,2024
18,Kroatien,18.2,2024
19,Spanien,19.7,2024
20,Griechenland,19.9,2024
21,Portugal,20.1,2024
22,Lettland,20.5,2024
23,Italien,20.8,2024
24,Ungarn,21.1,2024
25,Polen,21.4,2024
26,Rumänien,21.7,2024
27,Bulgarien,21.9,2024
